Row ID	Order ID	Order Date	Ship Date	Ship Mode	Customer ID	Country	City	State	Postal Code	Region	Product ID	Quantity
9918	CA-2018-160927	1/29/2018	1/31/2018	Second Class	TM-21010	United States	Marion	Iowa	52302	Central	FUR-FU-10000010	3
9917	CA-2018-160927	1/29/2018	1/31/2018	Second Class	TM-21010	United States	Marion	Iowa	52302	Central	OFF-ST-10001590	1
9916	CA-2018-160927	1/29/2018	1/31/2018	Second Class	TM-21010	United States	Marion	Iowa	52302	Central	OFF-PA-10000176	5
9915	CA-2018-160927	1/29/2018	1/31/2018	Second Class	TM-21010	United States	Marion	Iowa	52302	Central	OFF-PA-10003848	2
9866	CA-2018-113278	1/14/2018	1/20/2018	Standard Class	HR-14770	United States	Richmond	Indiana	47374	Central	FUR-FU-10001037	2
9865	CA-2018-113278	1/14/2018	1/20/2018	Standard Class	HR-14770	United States	Richmond	Indiana	47374	Central	TEC-AC-10004469	4
9864	CA-2018-113278	1/14/2018	1/20/2018	Standard Class	HR-14770	United States	Richmond	Indiana	47374	Central	OFF-PA-10004156	1
9863	CA-2018-113278	1/14/2018	1/20/2018	Standard Class	HR-14770	United States	Richmond	Indiana	47374	Central	TEC-AC-10001445	4
9862	CA-2018-113278	1/14/2018	1/20/2018	Standard Class	HR-14770	United States	Richmond	Indiana	47374	Central	OFF-ST-10002562	2
9861	CA-2018-113278	1/14/2018	1/20/2018	Standard Class	HR-14770	United States	Richmond	Indiana	47374	Central	TEC-PH-10000169	4
9860	CA-2018-113278	1/14/2018	1/20/2018	Standard Class	HR-14770	United States	Richmond	Indiana	47374	Central	OFF-FA-10003472	2
9859	CA-2018-113278	1/14/2018	1/20/2018	Standard Class	HR-14770	United States	Richmond	Indiana	47374	Central	OFF-ST-10001590	5
9745	CA-2018-141782	1/21/2018	1/25/2018	Standard Class	BE-11410	United States	Aurora	Illinois	60505	Central	OFF-EN-10002230	4
9686	CA-2018-118668	1/2/2018	1/4/2018	Second Class	FW-14395	United States	Los Angeles	California	90032	West	TEC-AC-10000682	1
9655	CA-2018-161893	1/23/2018	1/27/2018	Standard Class	HP-14815	United States	Tucson	Arizona	85705	West	OFF-BI-10004506	2
9654	CA-2018-161893	1/23/2018	1/27/2018	Standard Class	HP-14815	United States	Tucson	Arizona	85705	West	TEC-AC-10001874	2
9598	CA-2018-104619	1/24/2018	1/29/2018	Standard Class	KD-16495	United States	San Jose	California	95123	West	TEC-PH-10000193	3
9597	CA-2018-104619	1/24/2018	1/29/2018	Standard Class	KD-16495	United States	San Jose	California	95123	West	OFF-BI-10004318	2
